Daily_Healthy_Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daily_Infected_Count,1000000,979600,959617,940042,920866,902081,883680,865654,847995,830697,813752,797152,780891,764962,749358,734072,719098,704430,690061,675984,662195,648688,635456,622493,609796,597358,585173,573236,561543,550089,538868,527876,517108,506560,496227,486105,476189,466476,456961,447640,438509,429564,420802,412218,403810,395573,387504,379599,371857,364272,356842,349564,342434,335450,328607,321904,315338,308906,302605,296432,290386,284463,278661,272977,267409,261955,256612,251378,246251,241228,236308,231488,226767,222142,217612,213173,208825,204566,200394,196307,192303,188381,184539,180776,177089,173478,169940,166475,163080,159754,156496,153305,150178,147115,144115,141176,138297,135477,132714,130007,127355,124758,122214,119722,117281,114890,112548,110253,108004,105801,103643,101530,99460,97432,95446,93500,91593,89726,87897,86105,84349,82630,80945,79295,77679,76095,74544,73025,71536,70078,68649,67250,65879,64536,63221,61932,60670,59433,58222,57035,55873,54734,53619,52526,51455,50406,49378,48372,47386,46421,45475,44548,43641,42752,41880,41027,40191,39372,38570,37784,37014,36260,35521,34797,34089,33395,32715,32048,31396,30757,30130,29516,28915,28326,27749,27184,26631,26089,25558,25037,24527,24028,23539,23060,22590,22130,21680,21239,20807,20383,19968,19562,19164,18774,18392,18018,17651,17291,16940,16596,16259,15928,15604,15286,14975,14671,14373,14081,13795,13515,13240,12971,12707,12448,12196,11949,11707,11469,11236,11008,10784,10565,10350,10139,9933,9732,9535,9342,9153,8967,8785,8607,8432,8261,8093,7929,7768,7610,7455,7304,7156,7011,6869,6730,6594,6461,6330,6202,6076,5953,5832,5714,5598,5485,5374,5265,5158,5053,4950,4850,4752,4656,4562,4470,4380,4292,4206,4121,4038,3957,3877,3799,3723,3648,3575,3503,3432,3363,3295,3229,3164,3100,3037,2976,2916,2857,2799,2743,2688,2634,2581,2529,2478,2429,2381,2334,2288,2243,2199,2156,2113,2071,2030,1990,1951,1912,1874,1837,1801,1765,1730,1696,1663,1630,1598,1567,1536,1506,1476,1447,1419,1391,1364,1337,1311,1285,1260,1235,1211,1187,1164,1141,1119,1097,1076,1055,1034,1014,994,975,956,937,919,901,883,866,849,833,817,801,785,770,755,740,726,712,698,685,672,659,646,634,622,610,598
Daily_Recovered_Count,0,19600,38801,57610,76034,94083,111764,129084,146051,162671,178952,194902,210527,225832,240826,255514,269902,283996,297803,311328,324577,337556,350270,362725,374926,386878,398587,410056,421291,432297,443078,453640,463986,474122,484051,493777,503305,512638,521781,530738,539511,548106,556526,564774,572854,580769,588522,596117,603557,610846,617986,624980,631832,638544,645119,651560,657870,664050,670105,676036,681846,687537,693113,698575,703925,709167,714302,719332,724259,729086,733814,738446,742983,747428,751782,756047,760225,764318,768328,772255,776103,779873,783565,787182,790725,794196,797596,800927,804190,807386,810518,813585,816590,819533,822417,825242,828009,830719,833374,835975,838523,841020,843466,845862,848209,850508,852760,854965,857126,859243,861317,863348,865338,867288,869198,871068,872901,874696,876455,878177,879865,881518,883137,884723,886277,887799,889290,890751,892182,893584,894957,896302,897621,898912,900177,901416,902630,903819,904984,906125,907243,908338,909411,910462,911491,912500,913488,914456,915404,916333,917243,918134,919007,919862,920700,921521,922325,923112,923884,924640,925380,926106,926817,927513,928195,928863,929517,930158,930786,931401,932004,932594,933173,933740,934295,934838,935371,935893,936404,936905,937395,937876,938347,938808,939260,939702,940136,940561,940977,941385,941784,942176,942560,942936,943304,943664,944017,944363,944702,945034,945359,945678,945990,946296,946595,946889,947177,947459,947735,948005,948270,948529,948783,949032,949276,949515,949749,949979,950204,950424,950640,950851,951058,951261,951459,951654,951845,952032,952215,952395,952571,952743,952912,953077,953239,953397,953552,953704,953853,954000,954144,954285,954423,954558,954690,954819,954946,955070,955192,955311,955428,955542,955654,955763,955870,955975,956078,956179,956278,956376,956472,956566,956658,956748,956836,956922,957006,957089,957170,957249,957327,957403,957477,957550,957621,957691,957760,957827,957893,957957,958020,958082,958143,958202,958260,958317,958373,958427,958480,958532,958583,958633,958682,958731,958779,958826,958872,958917,958961,959004,959047,959089,959130,959170,959209,959248,959286,959323,959359,959395,959430,959464,959497,959530,959562,959593,959624,959654,959684,959713,959741,959769,959796,959823,959849,959875,959900,959925,959949,959973,959996,960019,960041,960063,960084,960105,960126,960146,960166,960185,960204,960223,960241,960259,960277,960294,960311,960327,960343,960359,960375,960390,960405,960420,960434,960448,960462,960475,960488,960501,960514,960526,960538,960550,960562
Daily_Dead_Count,0,400,791,1174,1550,1918,2278,2631,2977,3316,3648,3973,4291,4603,4908,5207,5500,5787,6068,6344,6614,6878,7137,7391,7639,7882,8120,8354,8583,8807,9027,9242,9453,9659,9861,10059,10253,10443,10629,10811,10990,11165,11336,11504,11668,11829,11987,12142,12293,12441,12586,12728,12867,13003,13137,13268,13396,13522,13645,13766,13884,14000,14113,14224,14333,14439,14543,14645,14745,14843,14939,15033,15125,15215,15303,15390,15475,15558,15639,15719,15797,15873,15948,16021,16093,16163,16232,16299,16365,16430,16493,16555,16616,16676,16734,16791,16847,16902,16956,17009,17061,17111,17160,17208,17255,17301,17346,17391,17435,17478,17520,17561,17601,17640,17678,17716,17753,17789,17824,17859,17893,17926,17959,17991,18022,18053,18083,18112,18141,18169,18197,18224,18250,18276,18301,18326,18350,18374,18397,18420,18442,18464,18485,18506,18527,18547,18567,18586,18605,18623,18641,18659,18676,18693,18710,18726,18742,18758,18773,18788,18803,18817,18831,18845,18858,18871,18884,18897,18909,18921,18933,18945,18956,18967,18978,18989,18999,19009,19019,19029,19039,19048,19057,19066,19075,19084,19092,19100,19108,19116,19124,19131,19138,19145,19152,19159,19166,19173,19179,19185,19191,19197,19203,19209,19215,19220,19225,19230,19235,19240,19245,19250,19255,19260,19264,19268,19272,19276,19280,19284,19288,19292,19296,19300,19304,19307,19310,19313,19316,19319,19322,19325,19328,19331,19334,19337,19340,19343,19346,19348,19350,19352,19354,19356,19358,19360,19362,19364,19366,19368,19370,19372,19374,19376,19378,19380,19382,19384,19386,19387,19388,19389,19390,19391,19392,19393,19394,19395,19396,19397,19398,19399,19400,19401,19402,19403,19404,19405,19406,19407,19408,19409,19410,19411,19412,19413,19414,19415,19416,19417,19418,19419,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420,19420

Disease: Ebola
Parameters
Population_Size,1000000
Initial_Infected,10
Blob_Speed,40
